Date,"Open Price","Close Price","High Price","Low Price",Volume
10/10/2014,6431.85,6339.97,6431.85,6328.39,893108416
13/10/2014,6339.97,6366.24,6387.36,6294.64,846365376
14/10/2014,6366.24,6392.68,6403.43,6304.27,830848064
15/10/2014,6392.68,6211.64,6404.96,6211.64,1137327104
16/10/2014,6211.64,6195.91,6282.95,6072.68,1697042432
17/10/2014,6195.91,6310.29,6312.97,6188.04,1105815168
20/10/2014,6310.29,6267.07,6320.31,6238.6,723302912
21/10/2014,6267.07,6372.33,6372.33,6229.4,855935616
22/10/2014,6372.33,6399.73,6401.51,6341.39,725613504
23/10/2014,6399.73,6419.15,6430.32,6313.32,839507072
24/10/2014,6419.15,6388.73,6419.15,6372.43,717807872
27/10/2014,6388.73,6363.46,6443.76,6336.06,779987520
28/10/2014,6363.46,6402.17,6412,6363.46,800681472
29/10/2014,6402.17,6453.87,6475.35,6402.17,700842880
30/10/2014,6453.87,6463.55,6483.24,6378.15,815851648
31/10/2014,6463.55,6546.47,6553.37,6463.55,1062589696
03/11/2014,6546.47,6487.97,6559.56,6478.49,711775296
04/11/2014,6487.97,6453.97,6510.31,6444.89,816651648
05/11/2014,6453.97,6539.14,6539.14,6453.97,769204032
06/11/2014,6539.14,6551.15,6580.21,6503.81,799914944
07/11/2014,6551.15,6567.24,6608.23,6551.15,764955072
10/11/2014,6567.24,6611.25,6611.25,6566.78,575418368
11/11/2014,6611.25,6627.4,6632.57,6605.34,764945536
12/11/2014,6627.4,6611.04,6629.33,6588.93,702769472
13/11/2014,6611.04,6635.45,6645.9,6596.89,721388672
14/11/2014,6635.45,6654.37,6654.37,6610.13,627535040
17/11/2014,6654.37,6671.97,6681.55,6616.12,537265344
18/11/2014,6671.97,6709.13,6714.12,6671.75,653233792
19/11/2014,6709.13,6696.6,6718.88,6678.13,802689152
20/11/2014,6696.6,6678.9,6696.82,6641.14,640496576
21/11/2014,6678.9,6750.76,6773.14,6678.9,845568256
24/11/2014,6750.76,6729.79,6763.97,6720.09,675406592
25/11/2014,6729.79,6731.14,6750.87,6709.31,907288192
26/11/2014,6731.14,6729.17,6765.01,6718.53,586840512
27/11/2014,6729.17,6723.42,6749.91,6713.76,517208416
28/11/2014,6723.42,6722.62,6734.71,6667.08,839272512
